304694,2017-03-22,272.45,"Sobe - Cranberry Grapefruit,2.02,18.94","Sauce - White, Mix,1.03,1.95","Cheese - Cheddar, Old White,1.80,11.98","Cake - French Pear Tart,1.96,10.32","Cake - Night And Day Choclate,1.59,1.85","Halibut - Whole, Fresh,3.49,3.22","Lamb Shoulder Boneless Nz,1.91,18.63","Nut - Almond, Blanched, Whole,4.03,18.86","Flavouring - Rum,1.79,12.26","Nantucket Cranberry Juice,2.67,10.56","Tomato Paste,3.09,1.45","Lamb - Shoulder, Boneless,2.50,4.50","Lamb - Ground,2.23,10.80","Capon - Whole,4.07,9.88","Container - Hngd Cll Blk 7x7x3,2.44,22.05","Salmon - Atlantic, No Skin,3.19,24.08","Lamb - Bones,1.60,10.80","Cheese - Cheddar With Claret,1.41,7.57","Grapes - Red,3.07,27.08","Beef - Rib Eye Aaa,4.01,13.91","Yams,3.00,10.40","Wine - Riesling Alsace Ac 2001,4.04,2.91","Salt - Kosher,2.02,18.45",0,0,0,0,0,0
304694,2018-01-03,53.38,"Chutney Sauce,2.81,19.93","Bar - Sweet And Salty Chocolate,3.04,1.46","Fudge - Chocolate Fudge,2.43,19.67","Clam - Cherrystone,2.69,12.31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588775,2017-09-22,14.28,"Pasta - Orzo, Dry,1.59,3.93","Pork - European Side Bacon,1.13,5.22","Liners - Banana, Paper,1.24,5.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588775,2018-01-25,303.42,"Pork - Loin, Center Cut,1.66,9.80","Bread - Raisin,1.05,8.42","Sauce - Hp,3.30,16.09","Tart Shells - Barquettes, Savory,1.03,9.67","Wiberg Super Cure,3.76,10.07","Soup - Campbells, Chix Gumbo,2.74,15.41","Tequila Rose Cream Liquor,1.41,9.90","Truffle - Peelings,3.46,2.28","Wakami Seaweed,2.86,2.78","Sauce - Chili,2.87,11.98","Flour - Strong,3.48,13.85","Isomalt,3.21,4.17","Wine - Riesling Alsace Ac 2001,3.65,8.21","Oil - Grapeseed Oil,3.37,13.47","Wonton Wrappers,3.90,4.80","Beef Tenderloin Aaa,1.41,13.01","Vodka - Smirnoff,2.53,20.96","Coffee - Decaffeinato Coffee,3.59,32.80","Salmon - Atlantic, No Skin,2.58,8.89","Sambuca - Opal Nera,1.32,6.80","French Pastry - Mini Chocolate,3.27,23.69","Wine - Segura Viudas Aria Brut,1.08,10.44","Lettuce - Radicchio,2.47,5.17","Shrimp - 16/20, Iqf, Shell On,3.59,26.23","Persimmons,3.54,9.45","Beef - Rib Eye Aaa,1.46,5.07",0,0,0
588775,2018-02-08,244.18,"Strawberries,3.33,26.76","Cake - Cheese Cake 9 Inch,1.26,7.86","Beer - Labatt Blue,3.74,29.83","Quail Eggs - Canned,3.45,19.16","Halibut - Whole, Fresh,4.19,3.86","Yokaline,3.06,17.71","Wiberg Super Cure,2.89,7.73","Lettuce - Radicchio,3.32,6.93","Longos - Cheese Tortellini,2.52,14.80","Corn Kernels - Frozen,2.26,6.79","Ham - Cooked Italian,3.64,22.95","Wakami Seaweed,2.91,2.82","Sorrel - Fresh,2.35,14.83","Soup - Knorr, French Onion,3.94,16.72","Maintenance Removal Charge,2.48,4.18","Chicken - White Meat, No Tender,1.22,2.96","Bok Choy - Baby,1.76,15.95","Tea - English Breakfast,1.66,2.34","Skewers - Bamboo,1.10,9.13","Hipnotiq Liquor,1.53,10.86",0,0,0,0,0,0,0,0,0
288158,2018-02-19,62.95,"Calypso - Pineapple Passion,1.07,8.26","Carbonated Water - Blackberry,2.71,1.79","Curry Powder,2.78,12.05","Soup - Campbells Pasta Fagioli,3.05,25.85","Hummus - Spread,1.32,11.25","Tea - English Breakfast,2.66,3.74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288158,2018-02-22,241.32,"Wine - Muscadet Sur Lie,3.93,5.11","Bread Bowl Plain,2.21,1.54","Salt - Kosher,1.33,12.14","Pasta - Cappellini, Dry,1.44,8.98","Beef Cheek Fresh,2.69,17.13","Apple - Fuji,2.85,23.51","Sugar - Monocystal / Rock,3.18,12.82","Wine - Crozes Hermitage E.,2.04,6.52","Flour Dark Rye,1.30,12.51","Pasta - Cannelloni, Sheets, Fresh,1.30,8.61","Nantucket - Kiwi Berry Cktl.,2.45,0.93","Ice Cream - Super Sandwich,3.08,24.66","Soup Campbells Turkey Veg.,2.64,15.32","Bread Foccacia Whole,4.08,27.43","Water - San Pellegrino,2.93,11.25","Capicola - Hot,3.92,24.01","Orange - Tangerine,2.17,9.87","Wine - Cotes Du Rhone Parallele,1.95,18.99",0,0,0,0,0,0,0,0,0,0,0
288158,2018-02-23,86.00,"Curry Paste - Madras,1.37,12.74","Zucchini - Yellow,4.11,24.98","Turkey - Ground. Lean,3.80,12.27","Passion Fruit,3.63,31.54","Crackers - Trio,1.74,1.15","Cheese - Grana Padano,1.56,3.33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
640112,2018-01-12,287.45,"Taro Root,1.78,9.58","Chinese Foods - Pepper Beef,2.20,17.86","Cheese - Cheddar, Old White,2.46,16.37","Lid - 0090 Clear,2.53,6.03","Wine - Cotes Du Rhone Parallele,4.02,23.60","Eel - Smoked,1.33,2.06","Beef - Inside Round,3.96,22.63","Yoghurt Tubes,2.22,15.24","Oven Mitt - 13 Inch,3.91,20.06","Bread - 10 Grain Parisian,2.75,8.66","Sauce - Hp,3.02,14.70","Venison - Liver,2.28,1.05","Cod - Salted, Boneless,2.18,2.94","Bread - Pumpernickel,1.73,12.97","Ice Cream - Life Savers,3.07,23.48","Wine - White, Colubia Cresh,2.04,8.55","Chips - Assorted,2.60,21.31","Pepper - Roasted Red,1.56,3.25","Muffin Orange Individual,3.35,2.18","Syrup - Monin, Irish Cream,1.83,8.23","Cucumber - English,2.11,12.17","Nut - Pine Nuts, Whole,1.40,11.09","Bandage - Flexible Neon,2.69,23.46",0,0,0,0,0,0
941686,2017-06-16,348.97,"Tea - Jasmin Green,3.04,19.03","Bacardi Breezer - Tropical,1.01,4.77","Longos - Grilled Veg Sandwiches,1.04,9.17","Sesame Seed Black,4.06,5.85","Sambuca - Opal Nera,2.74,14.06","Wine - White, French Cross,2.64,3.81","Wine - Red, Black Opal Shiraz,1.08,8.70","Eggs - Extra Large,1.40,2.87","Nut - Pumpkin Seeds,3.98,22.99","Campari,3.09,30.89","Vaccum Bag 10x13,1.62,9.94","Passion Fruit,2.18,18.94","Rum - Mount Gay Eclipes,3.86,11.07","Pie Filling - Cherry,3.88,21.67","Smoked Paprika,1.29,8.00","Water - Aquafina Vitamin,2.62,12.32","Corn Syrup,2.17,20.70","Bread Crumbs - Panko,3.12,9.37","Cookies Almond Hazelnut,2.57,12.66","Soup - Knorr, French Onion,3.89,16.50","Marjoram - Fresh,3.63,19.95","Table Cloth 53x69 White,2.47,9.81","Relish,4.09,11.50","Bread - Crusty Italian Poly,1.88,14.74","Pork - Sausage Casing,2.52,5.15","Bread Crumbs - Panko,2.53,7.60","Wine - Muscadet Sur Lie,1.28,1.66","Salt - Rock, Course,2.72,7.96","Pepsi - 600ml,1.00,7.29"
941686,2017-10-22,351.50,"Wine - Cotes Du Rhone Parallele,2.90,17.02","Energy Drink Bawls,3.21,27.09","Mushroom - King Eryingii,3.12,29.55","Tuna - Bluefin,2.44,9.84","Water - Mineral, Carbonated,2.34,16.85","Latex Rubber Gloves Size 9,1.88,14.29","Juice - Tomato, 10 Oz,1.79,15.44","Pea - Snow,3.96,7.26","Calypso - Pineapple Passion,4.13,31.87","Mix - Cocktail Ice Cream,3.82,23.89","Vodka - Smirnoff,2.44,20.25","Rhubarb,3.70,15.97","Wine - Saint Emilion Calvet,1.86,9.09","Bread - 10 Grain Parisian,1.16,3.67","Beef - Tenderloin - Aa,3.70,25.54","Crackers - Water,1.18,4.99","Flour Dark Rye,2.04,19.58","Fruit Salad Deluxe,3.89,30.75","Coffee - Ristretto Coffee Capsule,2.47,7.90","Oven Mitt - 13 Inch,2.96,15.21","Pancetta,1.07,5.46",0,0,0,0,0,0,0,0
