8847615,"Wine - White, Ej",8,2.53,3647
1776421,Longos - Cheese Tortellini,113,5.87,9143
8768485,Yukon Jack,157,5.1,2717
8348460,Cookie Dough - Chocolate Chip,144,4.96,8631
3354377,Yokaline,76,5.78,4437
1439629,Rabbit - Saddles,64,6.05,8273
8835217,Bread - Bistro White,113,5.62,2717
4693110,"Cheese - Cheddar, Medium",152,3.15,2648
9133572,Cake - Sheet Strawberry,11,2.25,5949
1215567,Lamb Leg - Bone - In Nz,56,4.35,6584
3564759,Beef - Tenderloin - Aa,94,6.91,8216
1007986,Bread - Crusty Italian Poly,89,7.85,1521
5318263,Hummus - Spread,102,8.54,3154
7806337,English Muffin,107,0.47,6584
8307876,"Cheese - Havarti, Roasted Garlic",79,5.52,9303
9284766,Ecolab - Balanced Fusion,72,8.68,2648
5939624,Coffee - Ristretto Coffee Capsule,58,3.2,5976
4897065,Mustard - Dijon,169,2.74,8474
9805283,Kiwi,28,4.35,7356
7373801,Crackers - Melba Toast,151,6.85,3647
8507036,Vodka - Smirnoff,0,8.29,1785
4264415,Mustard - Dijon,172,1.2,4437
3013699,"Juice - Tomato, 10 Oz",33,8.64,8216
1239126,"Cheese - Havarti, Salsa",46,5.04,7938
2276457,"Wine - White, French Cross",67,1.44,6915
8703733,Beef - Ground Medium,0,8.98,4465
9784659,Eel Fresh,133,7.79,5420
7764688,Cheese - Ricotta,0,5.78,4252
7889772,"Doilies - 12, Paper",63,1.67,3615
3872177,Bread - Malt,52,1.63,9152
8633057,Sour Cream,93,6.23,9303
2822505,Bread Bowl Plain,149,0.7,3615
2249685,Rosemary - Fresh,146,9.04,8216
7340938,Salt - Kosher,22,9.13,5976
6476135,"Mushroom - Morels, Dry",156,7.61,9320
1876999,"Shrimp, Dried, Small / Lb",11,7.24,1521
8211292,Veal - Slab Bacon,0,9.74,2903
5534927,Coffee - Flavoured,77,2.47,7800
3305549,Juice - Lagoon Mango,7,2.37,4465
6793112,"Ranchero - Primerba, Paste",129,8.69,4437
3520639,Bread - Italian Roll With Herbs,6,3.06,7356
6085788,Energy Drink - Franks Pineapple,159,7.46,9732
7557697,Spaghetti Squash,106,2.67,9090
7114657,"Asparagus - White, Canned",152,6.39,4418
3460001,Corn Syrup,78,9.52,8474
3123130,Bread - Rye,4,1.81,3594
1274910,Pepper - Scotch Bonnet,93,2.4,6915
1909377,"Star Anise, Whole",142,8.45,2250
9651897,"Veal - Insides, Grains",37,1.8,4418
9727419,Longos - Assorted Sandwich,99,7.59,6915
8962361,Cocoa Butter,161,2.25,5013
9355102,Compound - Raspberry,135,9.77,2717
2735181,Bread - Multigrain,155,4.81,9090
9389053,Table Cloth 90x90 White,122,9.3,1785
6566440,Cookies - Englishbay Wht,21,2.58,8474
7407788,Chinese Foods - Pepper Beef,126,8.11,7356
6884238,Flour Dark Rye,132,9.6,8631
1731485,Wine - Cotes Du Rhone,14,8.81,6584
5424043,"Pork - Bacon, Sliced",0,4.41,9320
3084072,Coffee - Cafe Moreno,97,9.45,2903
5380612,"Wine - Mas Chicet Rose, Vintage",149,1.26,3615
4018893,Lobster - Base,14,7.28,7800
8295311,Rhubarb,105,4.31,7938
2705631,"Trout - Rainbow, Fresh",159,3.55,2905
6095804,Mix - Cocktail Ice Cream,144,6.26,8631
7341077,Foil - Round Foil,86,9.02,9303
1029006,Tomato - Plum With Basil,162,4.42,5949
3637979,Container - Hngd Cll Blk 7x7x3,97,9.02,4437
4897967,Wakami Seaweed,152,0.97,8631
3398481,Butter Ripple - Phillips,112,8.51,8924
2356553,Soup - Campbells Pasta Fagioli,39,8.47,8474
1126471,Pepper - Roasted Red,141,2.08,2717
9371744,Flour - Rye,111,2.8,3594
1541750,Ecolab Crystal Fusion,0,8.23,6584
3276291,Bay Leaf,103,2.74,1521
7442149,Tea - Mint,172,7.88,1660
9313174,"Tart Shells - Savory, 3",145,0.48,5949
3104173,Pepsi - 600ml,41,7.27,8474
1954970,Nut - Pumpkin Seeds,23,1.38,1903
2464995,Sugar - Monocystal / Rock,135,4.03,4561
5279168,Salmon Steak - Cohoe 8 Oz,109,2.54,7800
8386521,Pastry - Baked Scones - Mini,102,3.02,3917
3414891,Pea - Snow,132,1.83,6915
5953142,Veal - Ground,95,8.9,9090
5805670,Wine - Saint Emilion Calvet,75,4.88,8216
8299686,"Wine - White, Antinore Orvieto",165,0.51,3154
3897796,Soup - French Onion,68,6.73,7356
4055812,Gherkin,116,0.8,5949
4445142,Yams,174,3.47,1521
2762072,Yoghurt Tubes,28,6.85,3594
8150626,"Nut - Pine Nuts, Whole",49,7.91,3917
9012440,Pear - Halves,102,9.88,6584
6624477,Cake - Dulce De Leche,73,5.33,7356
