product_id,name,units_available,price_per_unit
8847615,"Wine - White, Ej",8,2.53
1776421,Longos - Cheese Tortellini,113,5.87
8768485,Yukon Jack,157,5.1
8348460,Cookie Dough - Chocolate Chip,144,4.96
3354377,Yokaline,76,5.78
1439629,Rabbit - Saddles,64,6.05
8835217,Bread - Bistro White,113,5.62
4693110,"Cheese - Cheddar, Medium",152,3.15
9133572,Cake - Sheet Strawberry,11,2.25
1215567,Lamb Leg - Bone - In Nz,56,4.35
3564759,Beef - Tenderloin - Aa,94,6.91
1007986,Bread - Crusty Italian Poly,89,7.85
5318263,Hummus - Spread,102,8.54
7806337,English Muffin,107,0.47
8307876,"Cheese - Havarti, Roasted Garlic",79,5.52
9284766,Ecolab - Balanced Fusion,72,8.68
5939624,Coffee - Ristretto Coffee Capsule,58,3.2
4897065,Mustard - Dijon,169,2.74
9805283,Kiwi,28,4.35
7373801,Crackers - Melba Toast,151,6.85
8507036,Vodka - Smirnoff,0,8.29
4264415,Mustard - Dijon,172,1.2
3013699,"Juice - Tomato, 10 Oz",33,8.64
1239126,"Cheese - Havarti, Salsa",46,5.04
2276457,"Wine - White, French Cross",67,1.44
8703733,Beef - Ground Medium,0,8.98
9784659,Eel Fresh,133,7.79
7764688,Cheese - Ricotta,0,5.78
7889772,"Doilies - 12, Paper",63,1.67
3872177,Bread - Malt,52,1.63
8633057,Sour Cream,93,6.23
2822505,Bread Bowl Plain,149,0.7
2249685,Rosemary - Fresh,146,9.04
7340938,Salt - Kosher,22,9.13
6476135,"Mushroom - Morels, Dry",156,7.61
1876999,"Shrimp, Dried, Small / Lb",11,7.24
8211292,Veal - Slab Bacon,0,9.74
5534927,Coffee - Flavoured,77,2.47
3305549,Juice - Lagoon Mango,7,2.37
6793112,"Ranchero - Primerba, Paste",129,8.69
3520639,Bread - Italian Roll With Herbs,6,3.06
6085788,Energy Drink - Franks Pineapple,159,7.46
7557697,Spaghetti Squash,106,2.67
7114657,"Asparagus - White, Canned",152,6.39
3460001,Corn Syrup,78,9.52
3123130,Bread - Rye,4,1.81
1274910,Pepper - Scotch Bonnet,93,2.4
1909377,"Star Anise, Whole",142,8.45
9651897,"Veal - Insides, Grains",37,1.8
9727419,Longos - Assorted Sandwich,99,7.59
8962361,Cocoa Butter,161,2.25
9355102,Compound - Raspberry,135,9.77
2735181,Bread - Multigrain,155,4.81
9389053,Table Cloth 90x90 White,122,9.3
6566440,Cookies - Englishbay Wht,21,2.58
7407788,Chinese Foods - Pepper Beef,126,8.11
6884238,Flour Dark Rye,132,9.6
1731485,Wine - Cotes Du Rhone,14,8.81
5424043,"Pork - Bacon, Sliced",0,4.41
3084072,Coffee - Cafe Moreno,97,9.45
5380612,"Wine - Mas Chicet Rose, Vintage",149,1.26
4018893,Lobster - Base,14,7.28
8295311,Rhubarb,105,4.31
2705631,"Trout - Rainbow, Fresh",159,3.55
6095804,Mix - Cocktail Ice Cream,144,6.26
7341077,Foil - Round Foil,86,9.02
1029006,Tomato - Plum With Basil,162,4.42
3637979,Container - Hngd Cll Blk 7x7x3,97,9.02
4897967,Wakami Seaweed,152,0.97
3398481,Butter Ripple - Phillips,112,8.51
2356553,Soup - Campbells Pasta Fagioli,39,8.47
1126471,Pepper - Roasted Red,141,2.08
9371744,Flour - Rye,111,2.8
1541750,Ecolab Crystal Fusion,0,8.23
3276291,Bay Leaf,103,2.74
7442149,Tea - Mint,172,7.88
9313174,"Tart Shells - Savory, 3",145,0.48
3104173,Pepsi - 600ml,41,7.27
1954970,Nut - Pumpkin Seeds,23,1.38
2464995,Sugar - Monocystal / Rock,135,4.03
5279168,Salmon Steak - Cohoe 8 Oz,109,2.54
8386521,Pastry - Baked Scones - Mini,102,3.02
3414891,Pea - Snow,132,1.83
5953142,Veal - Ground,95,8.9
5805670,Wine - Saint Emilion Calvet,75,4.88
8299686,"Wine - White, Antinore Orvieto",165,0.51
3897796,Soup - French Onion,68,6.73
4055812,Gherkin,116,0.8
4445142,Yams,174,3.47
2762072,Yoghurt Tubes,28,6.85
8150626,"Nut - Pine Nuts, Whole",49,7.91
9012440,Pear - Halves,102,9.88
6624477,Cake - Dulce De Leche,73,5.33
8523140,Beef Tenderloin Aaa,46,9.2
8989394,Clam - Cherrystone,154,4.57
6201025,"Pepper - Green, Chili",89,9.68
4668399,Bag Clear 10 Lb,33,1.74
9410848,"Salmon - Atlantic, No Skin",43,3.44
2594837,Kale - Red,148,8.61
5877290,"Pork - Loin, Center Cut",75,4.13
3025136,Sprouts - Pea,18,3.62
9964821,Lettuce - Escarole,15,7.64
7291970,Pork - European Side Bacon,0,4.62
3801319,Pork - Hock And Feet Attached,153,3.45
6724802,"Pork - Bacon,back Peameal",58,8.33
8830966,Lettuce - Treviso,47,6.7
2754414,Breakfast Quesadillas,95,5.19
5233005,Wine - Acient Coast Caberne,126,1.22
8228508,"Wine - Red, Black Opal Shiraz",174,8.09
2977343,Hipnotiq Liquor,0,7.08
7394557,Strawberries,27,6.96
1983556,Vaccum Bag 10x13,37,6.15
8656720,Red Currant Jelly,0,4.79
7262725,Longos - Penne With Pesto,49,7.8
8023036,Mace Ground,115,0.54
3783652,Capon - Whole,142,2.43
9220705,Bandage - Flexible Neon,14,8.71
7472584,Extract - Raspberry,43,1.07
5752634,Chocolate - Compound Coating,9,4.38
9944626,Rabbit - Saddles,152,4.65
9460727,Apples - Sliced / Wedge,148,3.86
5948808,Pork - Ham Hocks - Smoked,154,3.25
2621813,"Placemat - Scallop, White",152,8.53
5595384,Lemon Grass,0,9.4
6359011,"Bread - Rolls, Rye",43,7.42
9868752,Longos - Grilled Veg Sandwiches,9,8.84
5792507,Paste - Black Olive,137,0.46
3744592,Isomalt,85,1.3
2930931,"Yogurt - Peach, 175 Gr",111,7.69
8088319,Carbonated Water - Blackberry,21,0.66
4252588,"Coconut - Shredded, Sweet",125,0.73
2183354,Sauce - Chili,4,4.18
